topic_no,score,title,date,link,source
0,0.9651645,राष्ट्रपतिले गरिन् दुई विधेयक प्रमाणीकरण,"शुक्रबार, असार २४, २०७९",https://www.setopati.com/politics/276287,Setopati
0,0.962452,आर्थिक विधेयक र राष्ट्र ऋण उठाउने विधेयक राष्ट्रपतिबाट प्रमाणीकरण ,"बुधबार, असोज १३, २०७८",https://www.setopati.com/politics/250277,Setopati
0,0.9575937,राष्ट्रपतिद्वारा प्रदेश लोकसेवा र लेखापरीक्षण विधेयक प्रमाणीकरण,"शुक्रबार, चैत १५, २०७५",https://www.setopati.com/politics/177874,Setopati
0,0.95567894,राष्ट्रपतिद्वारा दुई विधेयक प्रमाणीकरण,"सोमबार, फागुन २०, २०७५",https://www.setopati.com/politics/176464,Setopati
0,0.94720554,राष्ट्रपतिद्वारा तीन विधेयक प्रमाणीकरण,"आइतबार, असोज २३, २०७९",https://www.setopati.com/politics/284214,Setopati
0,0.9251566,राष्ट्रपति भण्डारीद्वारा तीन विधेयक प्रमाणीकरण,"शुक्रबार, असोज २४, २०७६",https://www.setopati.com/politics/191292,Setopati
0,0.9224047,राष्ट्रपतिबाट खानेपानीसम्बन्धी विधेयक जारी,"बुधबार, भदौ २२, २०७९",https://www.setopati.com/politics/281719,Setopati
0,0.91488904,राष्ट्रपतिले जारी गरिन् तीन अध्यादेश,"सोमबार, असोज १२, २०७७",https://www.setopati.com/politics/218139,Setopati
1,0.96184814,बञ्चरेडाँडा संघर्ष समितिसँग भोलि बिहान ८ बजे सहरी विकास मन्त्रालयमा वार्ता,"बिहीबार, जेठ २६, २०७९",https://www.setopati.com/politics/273639,Setopati
1,0.9477972,मेयर बालेनलाई प्रधानमन्त्रीले भने- बञ्चरेडाँडाका स्थानीयबासीसँग पनि छलफल गर्नू,"बिहीबार, जेठ २६, २०७९",https://www.setopati.com/politics/273666,Setopati
1,0.8854315,प्रधानमन्त्रीसँग छलफल गर्ने भन्दै छाडियो बञ्चरेडाँडाबाट पक्राउ परेका तीन जनालाई,"बिहीबार, जेठ २६, २०७९",https://www.setopati.com/politics/273624,Setopati
1,0.8738667,"बञ्चरेडाँडामा आज घर छाडेर डाँडा माथिमाथि उक्ले गाउँलेहरू, तलतल प्रहरी","बुधबार, जेठ २५, २०७९",https://www.setopati.com/politics/273557,Setopati
1,0.8431836,बञ्चरेडाँडामा आज बिहान के भयो? सम्झौताप्रति किन असहमत छन् स्थानीय?,"मंगलबार, जेठ २४, २०७९",https://www.setopati.com/politics/273393,Setopati
1,0.83232224,आजदेखि सिंहदरबारको फोहोर उठ्दैन: मेयर बालेन ,"शनिबार, चैत २५, २०७९",https://www.setopati.com/politics/299029,Setopati
1,0.82949084,आमसभामा भएका फोहोर कार्यकर्ताले उठाए (तस्बिरहरू),"शुक्रबार, माघ २३, २०७७",https://www.setopati.com/politics/228527,Setopati
1,0.81082726,बञ्चरेडाँडाबाट पक्राउ परेका संघर्ष समितिका संयोजक ढुंगानासहित तीन जना अझै प्रहरी नियन्त्रणमा,"बुधबार, जेठ २५, २०७९",https://www.setopati.com/politics/273576,Setopati
2,0.8465723,जनआन्दोलनका 'जिउँदा सहिद' मुकेश कायस्थको निधनप्रति प्रधानमन्त्री प्रचण्डले गरे दुःख व्यक्त,"बिहीबार, वैशाख २८, २०८०",https://www.setopati.com/politics/301784,Setopati
2,0.8440485,"प्रधानमन्त्रीले हात उठाए, विप्लवले गरे लालसलाम","शुक्रबार, फागुन २१, २०७७",https://www.setopati.com/politics/231124,Setopati
2,0.81637746,"नेपालीमा ट्विट गर्दै मोदीले दिए सीता दाहाललाई श्रद्धाञ्जली, प्रधानमन्त्री प्रचण्डप्रति समवेदना","बुधबार, असार २७, २०८०",https://www.setopati.com/politics/306785,Setopati
2,0.8148242,"पूर्वराज्यमन्त्री मीना पाण्डेको निधन, कांग्रेसले तीन दिन झन्डा आधा झुकाउने","मंगलबार, जेठ १६, २०८०",https://www.setopati.com/politics/303453,Setopati
2,0.81469125,विप्लव समूहकी काठमाडौं इञ्चार्ज बूढानिलकण्ठबाट पक्राउ,"बुधबार, साउन १५, २०७६",https://www.setopati.com/politics/186832,Setopati
2,0.812715,विप्लव समूहले भन्यो-प्रहरीको प्रतिरोध गर्दा इञ्चार्ज नीरकुमार मारिए,"शुक्रबार, असार २७, २०७६",https://www.setopati.com/politics/185582,Setopati
2,0.80510604,ओलीसँग एकै मञ्चमा देखिनुअघि नवलपुरमा झुल्किए विप्लव,"शुक्रबार, फागुन २१, २०७७",https://www.setopati.com/politics/231090,Setopati
3,0.9647501,बालुवाटारको दुई अर्ब पर्ने १४ रोपनी जग्गा अझै ढकाल र सुवेदीका नाममा  ,"सोमबार, वैशाख १६, २०७६",https://www.setopati.com/politics/179657,Setopati
3,0.9354581,बालुवाटारको जग्गा व्यक्तिका नाममा पुर्‍याएको भन्दै विजय गच्छदार र दीप बस्न्यातलाई भ्रष्टाचार मुद्दा,"बुधबार, माघ २२, २०७६",https://www.setopati.com/politics/199124,Setopati
3,0.9164854,बालुवाटार जग्गा प्रकरण: गृहले दियो सिआइबीमा जाहेरी,"आइतबार, फागुन ४, २०७६",https://www.setopati.com/politics/199815,Setopati
3,0.90892446,बालुवाटार जग्गा प्रकरणका मुख्य योजनाकार ढकाल र सुवेदीले दिए अख्तियारमा बयान,"शुक्रबार, साउन २४, २०७६",https://www.setopati.com/politics/187493,Setopati
3,0.90553474,बालुवाटार जग्गा प्रकरण : चार पूर्वमन्त्रीदेखि भाटभटेनीका सञ्चालकसम्मलाई भ्रष्टाचार मुद्दा,"बुधबार, माघ २२, २०७६",https://www.setopati.com/politics/199136,Setopati
3,0.90461063,बालुवाटारको सरकारी जग्गाबारे सिआइबीले बुझायो छानबिन प्रतिवेदन,"शुक्रबार, माघ १७, २०७६",https://www.setopati.com/politics/198791,Setopati
3,0.89890885,बालुवाटार प्रकरणमा भ्रष्टाचारको अभियोग लागेका गच्छदार अदालतमा हाजिर ,"बुधबार, असार ३०, २०७८",https://www.setopati.com/politics/243168,Setopati
3,0.88831073,नेकपा महासचिव विष्णु पौडेलको बालुवाटारस्थित आठ आना जग्गा रोक्का,"आइतबार, वैशाख १५, २०७६",https://www.setopati.com/politics/179556,Setopati
4,0.9967916,युक्रेनबाट के चाहन्छन् पुटिन?,"बिहीबार, फागुन १२, २०७८",https://www.setopati.com/politics/262996,Setopati
4,0.9887833,युक्रेनी सेनाले फिर्ता लियो रूसले कब्जा गरेको सहर,"आइतबार, भदौ २६, २०७९",https://www.setopati.com/politics/282080,Setopati
4,0.9881075,रूसी आक्रमणमा ४० युक्रेनियनको मृत्यु,"बिहीबार, फागुन १२, २०७८",https://www.setopati.com/politics/263040,Setopati
4,0.98628247,हास्य कलाकारबाट राष्ट्रपति बनेर पुटिनसँग लडिरहेका जेलेन्स्की,"शुक्रबार, फागुन १३, २०७८",https://www.setopati.com/politics/263153,Setopati
4,0.9858629,९१ प्रतिशत युक्रेनीको समर्थन छ राष्ट्रपति जेलेन्स्कीलाई,"सोमबार, फागुन १६, २०७८",https://www.setopati.com/politics/263363,Setopati
4,0.980091,फर्किन थाले युक्रेनको सीमामा पुगेका रूसी सैनिक,"मंगलबार, फागुन ३, २०७८",https://www.setopati.com/politics/262284,Setopati
4,0.9784495,झ्यालमा बालुवाका बोरा राखेर युक्रेनी राष्ट्रपतिको पत्रकार सम्मेलन,"शुक्रबार, फागुन २०, २०७८",https://www.setopati.com/politics/263706,Setopati
4,0.97731984,इजरायल-हमास युद्ध: अहिलेसम्म २१०० जनाको मृत्यु,"बुधबार, असोज २४, २०८०",https://www.setopati.com/politics/313702,Setopati
5,0.863387,प्रधानमन्त्री देउवाले गरे बुटवल सम्मेलन केन्द्रको उद्घाटन,"शनिबार, भदौ ११, २०७९",https://www.setopati.com/politics/280682,Setopati
5,0.82805955,"निर्माण थालिएको बाह्र वर्षपछि बन्यो तिनाउ पुल, गृहमन्त्री खाणले गरे उद्घाटन","आइतबार, असार १२, २०७९",https://www.setopati.com/politics/275124,Setopati
5,0.8045951,पुल उद्घाटन गर्न प्रधानमन्त्री ओली दाङमा,"सोमबार, माघ १२, २०७७",https://www.setopati.com/politics/227454,Setopati
5,0.8011571,दाङमा राजधानीका संरचना छिटो निर्माण गर्छौं : मन्त्री चौधरी,"शनिबार, साउन ३०, २०७८",https://www.setopati.com/politics/246105,Setopati
6,0.9906222,नेपाल बारले प्रधानन्यायाधीशको राजीनामा माग्ने,"सोमबार, कात्तिक ८, २०७८",https://www.setopati.com/politics/252158,Setopati
6,0.9828876,समितिसमक्ष जबराको दोस्रो दिनको बयान सुरू,"बिहीबार, भदौ १६, २०७९",https://www.setopati.com/politics/281146,Setopati
6,0.9808735,बयान दिन आज पनि सिंहदरबार पुगे चोलेन्द्रशमशेर,"बिहीबार, भदौ १६, २०७९",https://www.setopati.com/politics/281142,Setopati
6,0.97621024,चोलेन्द्रशमशेरलाई सर्वोच्च छिर्न नदिन नेपाल बारले गेटमा धर्ना दिने,"बुधबार, मंसिर २१, २०७९",https://www.setopati.com/politics/289142,Setopati
6,0.9744328,दीपकराज जोशी फेरि प्रधानन्यायाधीशको रोष्टरमा,"मंगलबार, मंसिर ११, २०७५",https://www.setopati.com/politics/170475,Setopati
